millis	ax	ay	az	mx	my	mz
30545	740	220	-1316	-58350	27000	-24300
30584	764	-4	-1316	-59550	27900	-24750
30638	864	20	-64	-60900	30150	-28200
30686	292	436	-1856	-66750	27600	-33300
30734	520	-200	-1300	-67650	24600	-34200
30788	480	-248	-748	-68550	22500	-34950
30874	576	-104	-1020	-69300	16950	-33900
30889	564	-28	-1052	-69600	16050	-33300
30938	496	52	-1076	-67950	14250	-31950
30986	520	52	-876	-66450	12600	-30000
31034	404	156	-908	-66450	11850	-29100
31088	408	244	-916	-64800	11100	-28050
31197	4	556	-1824	-65100	5550	-28200
31253	304	176	-780	-60000	1950	-24150
31265	304	176	-780	-59550	2700	-22950
31286	132	336	-976	-57300	1500	-21750
31334	252	212	-740	-54300	900	-20250
31389	244	156	-800	-49050	300	-17250
31436	136	-16	-904	-47550	-2700	-16350
31498	-16	60	-876	-44250	-1200	-14550
31539	-16	-56	-820	-40800	1350	-13050
31586	-168	120	-920	-40350	2700	-13200
31634	-276	36	-1104	-41550	4650	-12000
31688	-404	64	-1036	-40650	8550	-12900
31737	-376	24	-1276	-42750	12000	-12000
31784	-388	8	-1188	-42750	16800	-12600
31841	-168	60	-884	-39900	22650	-12600
31886	-128	32	-956	-38700	23550	-12750
31934	-108	-120	-1232	-39600	24750	-13800
31988	12	-628	-1312	-39000	23250	-12900
32037	0	-356	-1024	-36000	20850	-10650
32084	-132	-76	-800	-33900	23700	-11850
32141	-40	-64	-844	-36450	25800	-12600
32186	-632	-188	-1932	-33450	22200	-11700
32234	-108	-420	-720	-37350	24900	-12300
32288	-196	-52	-936	-41700	24750	-14100
32336	-88	-28	-1032	-41400	18450	-12900
32385	-164	12	-1116	-39000	15300	-11700
32438	-508	48	-1060	-40500	18000	-12150
32493	-408	-416	-1336	-39900	18900	-12450
32535	376	-1044	-2040	-37500	24450	-12300
32588	-104	88	-204	-23100	30150	-12750
32636	-180	-196	612	6150	29850	-24600
32684	408	568	344	19950	21000	-37500
32740	200	180	-208	22350	3000	-45900
32797	-88	260	1008	24150	2250	-66900
32834	-960	68	108	26250	7950	-62400
32888	-668	544	272	26100	11250	-62400
32937	-760	376	160	24600	11250	-64650
32984	-328	-128	276	25200	15900	-65700
33038	-840	264	-72	25200	15600	-65400
33086	-1004	272	216	26400	16050	-65100
33142	-772	88	192	24450	21450	-65700
33188	-892	248	68	25650	24300	-65400
33236	-908	192	200	23850	23250	-67200
